Particle: X:[4.5755, -115.8, -1.95633] v: [0.00142405, -10.126, -0.139368] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.76514, -114.654, 0.259545] v: [0.132507, -10.0115, 0.0819976] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.64882, -115.103, -1.61236] v: [0.108648, -9.9442, -0.105006] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.82683, -117.836, 0.236206] v: [0.0387691, -10.2173, 0.0796659] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.03671, -115.485, 1.87392] v: [-0.0524014, -10.0945, 0.0189976] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.69255, -114.263, -0.492566] v: [-0.0745457, -9.97241, -0.217414] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.44286, -115.59, 1.23676] v: [-0.211628, -9.99292, -0.0446544] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.59288, -113.752, 0.353966] v: [-0.084502, -9.80927, -0.132846] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.85835, -114.778, -1.9709] v: [-0.0702193, -10.0239, -0.0286861] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.44234, -114.892, -3.60592] v: [-0.0995418, -10.0353, -0.192025] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.86427, -116.214, -2.53395] v: [-0.0696282, -10.0552, -0.0849347] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.78098, -116.433, -0.0388874] v: [-0.0657112, -10.0771, 0.164322] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.38776, -113.591, 0.175192] v: [-0.0173312, -10.0174, -0.0385672] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.45754, -114.614, -0.0221375] v: [0.101777, -10.1196, -0.0582805] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.83988, -118.349, 0.477554] v: [0.027835, -10.1563, -0.0083612] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.34266, -117.838, 1.22049] v: [-0.00959974, -10.1053, 0.0658581] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.89541, -113.114, 0.155614] v: [-0.066517, -9.96976, 0.0716147] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.1195, -111.833, -1.35304] v: [-0.0318935, -9.84181, -0.0790998] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.6706, -116.177, -1.14759] v: [0.110824, -9.93943, -0.0585755] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.84822, -117.793, 1.30059] v: [0.240707, -10.1009, 0.185998] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.69156, -114.168, 0.391196] v: [0.00078051, -9.96292, -0.0169884] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.88501, -114.828, 0.0629285] v: [-0.0430811, -10.0289, -0.0497824] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.75692, -115.378, -0.235285] v: [0.10721, -9.97167, -0.079574] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.00352, -115.902, 0.66064] v: [0.0686582, -10.024, 0.00992908] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.10261, -113.003, -0.305763] v: [-0.0580564, -9.84662, 0.0255232] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.52949, -116.177, -2.2] v: [0.0213024, -10.1637, -0.163711] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.59175, -116.021, -1.13697] v: [-0.0091909, -10.0359, -0.0575149] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.55061, -115.807, -0.771588] v: [-0.0764876, -10.0145, -0.0210127] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[0, 0, 0] v: [0, 0, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 0
Particle: X:[-10.01, 1, 0] v: [-1, 0, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 0
Particle: X:[-4.25425, 5.36, 0] v: [-0.425, 0, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 0
Particle: X:[34.75, 0.296296, 0] v: [0, 0.0296, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 0
